Time,NEW,SAME,EXCLUDED
08_38 - 09_16,16,457,4
09_16 - 09_38,8,470,3
09_38 - 10_18,19,470,8
10_18 - 10_38,10,485,4
10_38 - 11_13,16,488,7
11_13 - 11_37,4,500,4
11_37 - 12_36,23,492,12
12_36 - 13_20,21,506,9
13_20 - 13_37,7,525,2
13_37 - 14_15,18,527,5
14_15 - 14_38,6,543,2
14_38 - 15_17,19,542,7
15_17 - 15_37,6,558,3
15_37 - 16_22,24,559,5
16_22 - 16_40,8,579,4
16_40 - 17_14,12,584,3
17_14 - 17_37,3,595,1
17_37 - 18_20,12,594,4
18_20 - 18_38,3,605,1
18_38 - 19_13,5,606,2
19_13 - 19_37,3,608,3
19_37 - 20_17,13,607,4
20_17 - 20_37,6,616,4
20_37 - 21_37,21,613,9
21_37 - 22_16,8,625,9
